epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76175,1.71968,5.38893,1.40956,0.00167,0.64103,0.07552,0.02825,1.563,4.08957,1.23773,0.0002,0.0002,0.0002
2,5.8972,1.61223,4.37005,1.24606,0.0016,0.61538,0.17189,0.10371,1.57695,4.05593,1.30904,0.000415842,0.000415842,0.000415842
3,7.93454,1.53701,3.33952,1.26836,0.00187,0.71795,0.00957,0.00504,1.54509,4.20306,1.27868,0.000627328,0.000627328,0.000627328
4,9.92054,1.7068,3.60555,1.31412,0.0016,0.61538,0.06032,0.02398,1.82416,4.53119,1.53214,0.000834458,0.000834458,0.000834458
5,11.9453,1.57873,3.02682,1.26729,0.00107,0.41026,0.05612,0.02632,1.80835,4.60831,1.51173,0.00103723,0.00103723,0.00103723
6,13.9742,1.66729,2.87281,1.35367,0.0012,0.46154,0.06342,0.02245,1.79272,4.32619,1.58102,0.00123565,0.00123565,0.00123565
7,16.0023,1.5877,2.83804,1.28892,0.36676,0.12821,0.08793,0.04238,1.79887,3.98914,1.56828,0.00142971,0.00142971,0.00142971
8,18.1563,1.56846,2.64027,1.26273,0.3606,0.21719,0.13185,0.06528,1.81359,3.52482,1.43688,0.00161942,0.00161942,0.00161942
9,20.2439,1.53475,2.52308,1.27846,0.25697,0.30769,0.2262,0.09741,1.6612,3.06584,1.52709,0.00180477,0.00180477,0.00180477
10,22.3041,1.65694,2.5934,1.32311,0.34157,0.20513,0.22863,0.12684,1.64721,3.62407,1.37717,0.0018218,0.0018218,0.0018218
11,24.371,1.52277,2.39511,1.25973,0.44293,0.22451,0.22234,0.12612,1.78287,4.71421,1.55891,0.001802,0.001802,0.001802
12,26.4319,1.61944,2.23797,1.2914,0.51501,0.25641,0.28322,0.16226,1.70577,5.71146,1.59655,0.0017822,0.0017822,0.0017822
13,28.4324,1.53194,2.26565,1.28657,0.3694,0.20513,0.19103,0.09005,1.83914,6.44493,1.73433,0.0017624,0.0017624,0.0017624
